,Education,Marital_Status,Income,Recency,Response,Age,Customer_Since,Total_Spent,RatioWines,RatioFruits,RatioMeatProducts,RatioFishProducts,RatioSweetProducts,RatioGoldProds,Total_Accepted_Campaign,Total_Purchase,Total_Web_Engagement
33,1,0,46610.0,8,1,73,608,302,0.31788079470198677,0.039735099337748346,0.31788079470198677,0.10927152317880795,0.0728476821192053,0.1423841059602649,0,25,10
34,1,1,68657.0,4,0,79,494,1196,0.40301003344481606,0.028428093645484948,0.39381270903010035,0.09949832775919733,0.056856187290969896,0.01839464882943144,0,25,10
35,1,0,49389.0,55,0,74,304,65,0.6153846153846154,0.0,0.2923076923076923,0.03076923076923077,0.015384615384615385,0.046153846153846156,0,15,9
36,1,1,67353.0,37,0,55,180,913,0.768893756845564,0.018619934282584884,0.16538882803943045,0.0,0.008762322015334063,0.038335158817086525,0,31,7
37,1,1,23718.0,76,0,49,300,81,0.07407407407407407,0.037037037037037035,0.1728395061728395,0.18518518518518517,0.08641975308641975,0.4444444444444444,0,17,10
38,0,0,42429.0,99,0,52,138,67,0.8208955223880597,0.0,0.08955223880597014,0.029850746268656716,0.0,0.05970149253731343,0,13,6
39,1,0,48948.0,53,1,82,513,902,0.4844789356984479,0.008869179600886918,0.22838137472283815,0.17738359201773837,0.05432372505543237,0.04656319290465632,1,30,13
40,0,1,80011.0,3,0,45,426,1395,0.3017921146953405,0.05448028673835126,0.3842293906810036,0.05878136200716846,0.12759856630824373,0.07311827956989247,0,26,12
41,1,1,20559.0,88,0,40,474,53,0.24528301886792453,0.018867924528301886,0.5471698113207547,0.05660377358490566,0.0,0.1320754716981132,0,16,10
42,0,1,21994.0,4,0,68,552,22,0.4090909090909091,0.0,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.13636363636363635,0,10,5
44,1,1,7500.0,19,0,50,270,31,0.0967741935483871,0.03225806451612903,0.3225806451612903,0.0967741935483871,0.06451612903225806,0.3870967741935484,0,14,7
45,0,0,79941.0,72,0,49,1,984,0.125,0.16666666666666666,0.2703252032520325,0.2306910569105691,0.03048780487804878,0.17682926829268292,0,17,3
46,1,1,7500.0,24,1,29,597,122,0.02459016393442623,0.14754098360655737,0.11475409836065574,0.12295081967213115,0.18032786885245902,0.4098360655737705,0,19,12
47,0,1,41728.0,92,0,57,401,55,0.23636363636363636,0.10909090909090909,0.2727272727272727,0.05454545454545454,0.09090909090909091,0.23636363636363636,0,16,12
49,1,1,72550.0,39,0,71,598,1319,0.6262319939347991,0.03790750568612585,0.2403335860500379,0.03790750568612585,0.02880970432145565,0.02880970432145565,0,38,13
50,0,0,65486.0,29,0,68,48,507,0.4832347140039448,0.03747534516765286,0.2465483234714004,0.07297830374753451,0.13214990138067062,0.027613412228796843,0,20,6
51,1,1,79143.0,2,0,61,687,1693,0.38393384524512697,0.021854695806261076,0.4607206142941524,0.01594802126402835,0.09864146485528648,0.018901358535144713,0,32,9
52,0,0,35790.0,54,0,48,543,72,0.16666666666666666,0.08333333333333333,0.2777777777777778,0.4166666666666667,0.013888888888888888,0.041666666666666664,0,15,9
53,0,0,82582.0,54,1,48,22,1617,0.31539888682745826,0.07421150278293136,0.3401360544217687,0.09647495361781076,0.024737167594310452,0.14904143475572046,2,22,5
54,0,1,66373.0,57,0,47,382,606,0.5412541254125413,0.01485148514851485,0.20462046204620463,0.019801980198019802,0.039603960396039604,0.17986798679867988,0,28,7
55,1,1,82384.0,55,1,70,587,1957,0.5028104241185488,0.026060296371997957,0.22074603985692387,0.09197751660705161,0.061318344404701075,0.0970873786407767,1,28,4
56,0,0,70287.0,30,1,59,453,1093,0.2698993595608417,0.03202195791399817,0.4409881061299177,0.11070448307410796,0.10978956999085086,0.036596523330283626,0,24,8
57,0,0,27938.0,31,0,37,62,29,0.4482758620689655,0.0,0.27586206896551724,0.06896551724137931,0.034482758620689655,0.1724137931034483,0,10,4
59,1,1,55954.0,63,0,57,118,518,0.862934362934363,0.0,0.05405405405405406,0.0,0.0,0.08301158301158301,0,27,15
60,1,0,75777.0,12,1,43,360,1438,0.4951321279554937,0.01808066759388039,0.3741307371349096,0.04798331015299027,0.009040333796940195,0.055632823365785816,2,22,4
61,0,1,66653.0,18,0,50,660,612,0.738562091503268,0.029411764705882353,0.16666666666666666,0.026143790849673203,0.029411764705882353,0.00980392156862745,0,27,7
62,0,0,61823.0,26,0,73,496,884,0.5916289592760181,0.007918552036199095,0.1515837104072398,0.0418552036199095,0.01583710407239819,0.19117647058823528,0,32,15
63,1,0,67680.0,8,0,74,383,606,0.900990099009901,0.0,0.07920792079207921,0.0,0.009900990099009901,0.009900990099009901,0,25,12
64,0,1,70666.0,29,0,77,205,1076,0.36988847583643125,0.03717472118959108,0.34107806691449816,0.11059479553903345,0.11338289962825279,0.027881040892193308,0,20,11
65,0,1,25721.0,75,1,54,404,34,0.029411764705882353,0.08823529411764706,0.17647058823529413,0.08823529411764706,0.17647058823529413,0.4411764705882353,0,13,8
66,0,1,32474.0,0,0,58,49,11,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0,13,8
67,1,0,88194.0,19,1,46,102,1274,0.5400313971742543,0.01098901098901099,0.2425431711145997,0.1577708006279435,0.018838304552590265,0.029827315541601257,2,38,16
68,0,1,69096.0,4,0,67,275,653,0.3782542113323124,0.07503828483920368,0.2434915773353752,0.010719754977029096,0.12557427258805512,0.1669218989280245,0,23,9
69,0,1,74854.0,90,0,55,447,1562,0.5480153649167734,0.03777208706786172,0.3117797695262484,0.03713188220230474,0.01856594110115237,0.04673495518565941,0,27,7
70,1,1,66991.0,1,0,71,656,1253,0.39584996009577017,0.028731045490822026,0.3671189146049481,0.15083798882681565,0.047885075818036714,0.009577015163607342,0,24,7
72,0,1,65031.0,29,0,66,469,863,0.2989571263035921,0.12398609501738123,0.33719582850521435,0.09733487833140209,0.04287369640787949,0.0996523754345307,0,38,17
73,1,1,60631.0,88,0,50,450,661,0.8547655068078669,0.009077155824508321,0.09833585476550681,0.0,0.009077155824508321,0.028744326777609682,1,33,16
74,0,1,28332.0,58,0,73,60,65,0.2153846153846154,0.15384615384615385,0.2,0.06153846153846154,0.23076923076923078,0.13846153846153847,0,10,4
75,0,0,40246.0,68,0,48,557,13,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.07692307692307693,0,11,7
76,1,1,75251.0,34,1,53,671,1890,0.3814814814814815,0.05873015873015873,0.4894179894179894,0.051322751322751325,0.009523809523809525,0.009523809523809525,0,24,12
77,0,0,75825.0,40,1,49,625,2209,0.46717971933001357,0.047532820280669984,0.35264825712992304,0.06201901312811227,0.047532820280669984,0.023087369850611137,1,26,9
78,1,1,26326.0,12,0,49,298,18,0.05555555555555555,0.0,0.2777777777777778,0.0,0.16666666666666666,0.5,0,7,3
79,0,1,56046.0,9,1,60,543,692,0.8338150289017341,0.0,0.09248554913294797,0.0,0.0,0.07369942196531792,1,29,18
80,0,0,29760.0,87,0,40,669,165,0.3878787878787879,0.024242424242424242,0.4121212121212121,0.04242424242424243,0.030303030303030304,0.10303030303030303,0,21,11
81,0,1,26304.0,5,0,56,371,16,0.25,0.0625,0.3125,0.125,0.0,0.25,0,12,8
82,1,1,23559.0,87,0,52,361,79,0.31645569620253167,0.06329113924050633,0.24050632911392406,0.08860759493670886,0.0,0.2911392405063291,0,17,10
83,1,1,38620.0,56,0,62,414,318,0.3522012578616352,0.05345911949685535,0.13836477987421383,0.1069182389937107,0.06918238993710692,0.279874213836478,0,14,5
85,0,1,29440.0,95,0,65,322,56,0.30357142857142855,0.14285714285714285,0.25,0.17857142857142858,0.07142857142857142,0.05357142857142857,0,16,8
86,1,1,36138.0,48,0,55,348,151,0.8609271523178808,0.0,0.10596026490066225,0.0,0.0,0.033112582781456956,1,22,10
87,0,0,50388.0,3,1,68,32,372,0.7849462365591398,0.016129032258064516,0.09946236559139784,0.0,0.008064516129032258,0.0913978494623656,2,25,13
88,0,1,79593.0,70,0,52,48,1366,0.2562225475841874,0.043923865300146414,0.4158125915080527,0.08052708638360176,0.09736456808199122,0.1061493411420205,1,21,7
89,0,1,54178.0,79,0,58,159,194,0.6958762886597938,0.04639175257731959,0.20103092783505155,0.020618556701030927,0.0,0.03608247422680412,0,13,4
93,1,0,42394.0,69,0,53,98,32,0.46875,0.0625,0.3125,0.0,0.03125,0.125,0,13,8
94,1,1,23626.0,84,0,55,36,43,0.627906976744186,0.046511627906976744,0.32558139534883723,0.0,0.0,0.0,0,16,8
95,0,1,30096.0,30,0,42,38,45,0.1111111111111111,0.06666666666666667,0.24444444444444444,0.26666666666666666,0.1111111111111111,0.2,0,13,8
96,0,0,47916.0,72,0,65,584,606,0.8333333333333334,0.0,0.0429042904290429,0.0,0.0,0.12376237623762376,1,29,13
97,0,0,51813.0,37,0,53,444,63,0.8095238095238095,0.031746031746031744,0.1111111111111111,0.0,0.015873015873015872,0.031746031746031744,0,16,9
98,1,1,78497.0,44,0,74,210,978,0.2116564417177914,0.026584867075664622,0.4570552147239264,0.07668711656441718,0.0,0.2280163599182004,1,27,7
99,1,1,50150.0,32,0,42,374,410,0.32926829268292684,0.11219512195121951,0.22439024390243903,0.15853658536585366,0.14878048780487804,0.026829268292682926,0,21,10
100,1,0,47823.0,0,0,65,341,72,0.7361111111111112,0.013888888888888888,0.06944444444444445,0.027777777777777776,0.013888888888888888,0.1388888888888889,0,16,10
101,1,0,34554.0,43,0,66,91,55,0.7454545454545455,0.01818181818181818,0.10909090909090909,0.03636363636363636,0.0,0.09090909090909091,0,14,8
102,0,1,85693.0,59,0,46,435,1169,0.330196749358426,0.14713430282292558,0.15654405474764757,0.15825491873396064,0.11291702309666382,0.0949529512403764,0,33,14
103,1,1,65846.0,68,0,80,408,1120,0.5017857142857143,0.07232142857142858,0.24642857142857144,0.07142857142857142,0.03571428571428571,0.07232142857142858,0,20,10
104,0,1,87195.0,35,1,66,52,1097,0.19781221513217867,0.06927985414767548,0.6289881494986327,0.04557885141294439,0.023701002734731084,0.03463992707383774,0,21,4
105,0,1,24594.0,94,0,46,201,29,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.3448275862068966,0.0,0.3103448275862069,0,11,6
106,0,1,49096.0,15,0,61,278,187,0.7700534759358288,0.0053475935828877,0.1711229946524064,0.0106951871657754,0.0053475935828877,0.0374331550802139,0,22,11
107,0,1,52413.0,56,0,56,512,910,0.3241758241758242,0.11648351648351649,0.2978021978021978,0.08241758241758242,0.1076923076923077,0.07142857142857142,0,34,12
108,0,0,38557.0,17,0,47,557,145,0.5241379310344828,0.020689655172413793,0.21379310344827587,0.027586206896551724,0.027586206896551724,0.18620689655172415,0,17,10
109,1,1,89058.0,18,0,65,569,850,0.5341176470588235,0.22823529411764706,0.12470588235294118,0.036470588235294116,0.02588235294117647,0.05058823529411765,0,16,7
110,0,1,77298.0,46,0,46,239,969,0.43859649122807015,0.11867905056759546,0.3013415892672859,0.023735810113519093,0.03611971104231166,0.08152734778121776,0,28,9
112,1,1,57288.0,27,0,62,4,608,0.8667763157894737,0.0,0.03453947368421053,0.0,0.0,0.09868421052631579,1,27,14
113,0,0,86037.0,95,1,34,543,730,0.6712328767123288,0.06027397260273973,0.17123287671232876,0.03972602739726028,0.0273972602739726,0.030136986301369864,2,28,9
114,1,1,43974.0,19,0,45,564,551,0.6860254083484574,0.0,0.18330308529945555,0.0,0.0,0.1306715063520871,0,29,13
115,0,0,50785.0,27,0,63,292,114,0.5614035087719298,0.008771929824561403,0.18421052631578946,0.0,0.008771929824561403,0.23684210526315788,0,16,8
116,0,1,90765.0,25,0,55,156,1724,0.31728538283062646,0.0574245939675174,0.4709976798143852,0.08758700696055685,0.04756380510440835,0.0191415313225058,2,16,5
117,1,1,36550.0,74,0,47,495,577,0.08145580589254767,0.1559792027729636,0.16291161178509533,0.21317157712305027,0.17850953206239167,0.20797227036395147,0,30,18
118,1,1,30753.0,85,0,58,353,81,0.14814814814814814,0.06172839506172839,0.30864197530864196,0.0,0.1111111111111111,0.37037037037037035,0,14,6
119,0,1,21918.0,37,0,56,227,33,0.030303030303030304,0.18181818181818182,0.21212121212121213,0.3333333333333333,0.15151515151515152,0.09090909090909091,0,14,8
120,1,1,56129.0,65,0,72,374,660,0.48484848484848486,0.07272727272727272,0.2015151515151515,0.05909090909090909,0.10909090909090909,0.07272727272727272,0,27,10
121,1,0,32557.0,13,1,58,125,80,0.425,0.0375,0.3625,0.0,0.05,0.125,0,15,7
122,1,1,19510.0,63,0,40,298,30,0.3,0.0,0.23333333333333334,0.1,0.13333333333333333,0.23333333333333334,0,15,8
123,0,0,30992.0,83,0,49,433,43,0.3953488372093023,0.0,0.32558139534883723,0.16279069767441862,0.06976744186046512,0.046511627906976744,0,13,8
124,0,0,101970.0,69,1,42,474,1135,0.6361233480176212,0.02378854625550661,0.08986784140969163,0.038766519823788544,0.06343612334801763,0.14801762114537445,3,29,8
125,1,1,71488.0,87,0,60,496,559,0.2898032200357782,0.059033989266547404,0.22182468694096602,0.07155635062611806,0.05008944543828265,0.3076923076923077,0,17,4
126,0,0,79607.0,37,1,41,434,1923,0.23400936037441497,0.06916276651066043,0.49453978159126366,0.08996359854394176,0.0,0.11232449297971919,0,17,4
127,1,1,54348.0,51,0,72,21,90,0.7777777777777778,0.0,0.17777777777777778,0.0,0.0,0.044444444444444446,0,16,8
129,1,1,77376.0,72,0,69,50,661,0.7443267776096822,0.028744326777609682,0.1664145234493192,0.024205748865355523,0.018154311649016642,0.018154311649016642,0,29,10
130,0,1,62998.0,10,0,73,272,463,0.2591792656587473,0.12526997840172785,0.15766738660907129,0.14038876889848811,0.19222462203023757,0.12526997840172785,0,25,10
131,1,0,61331.0,42,0,67,476,632,0.8449367088607594,0.007911392405063292,0.07436708860759493,0.0,0.007911392405063292,0.06487341772151899,0,33,19
132,0,1,73448.0,10,0,56,139,725,0.3255172413793103,0.14620689655172414,0.26068965517241377,0.031724137931034485,0.05655172413793103,0.1793103448275862,0,23,11
134,1,1,41551.0,51,0,61,319,279,0.7885304659498208,0.0,0.11827956989247312,0.010752688172043012,0.0,0.08243727598566308,0,26,13
135,1,1,62981.0,21,0,58,469,1482,0.5371120107962213,0.009446693657219974,0.398110661268556,0.02564102564102564,0.029689608636977057,0.0,1,26,7
136,0,0,9548.0,31,0,49,690,29,0.0,0.034482758620689655,0.10344827586206896,0.3448275862068966,0.20689655172413793,0.3103448275862069,0,15,9
137,1,1,33762.0,61,0,66,357,106,0.5,0.009433962264150943,0.32075471698113206,0.018867924528301886,0.0,0.1509433962264151,0,20,10
138,1,0,35860.0,37,1,52,41,49,0.30612244897959184,0.0,0.16326530612244897,0.08163265306122448,0.04081632653061224,0.40816326530612246,1,13,6
139,1,0,36921.0,74,0,60,336,38,0.4473684210526316,0.02631578947368421,0.3157894736842105,0.07894736842105263,0.02631578947368421,0.10526315789473684,0,16,9
140,1,0,92859.0,46,0,33,618,2077,0.4631680308136736,0.029369282619162253,0.44342802118440056,0.025036109773712085,0.029369282619162253,0.009629272989889264,0,24,7
141,1,1,65104.0,4,1,49,227,1053,0.7008547008547008,0.0,0.22032288698955366,0.012345679012345678,0.01899335232668566,0.04748338081671415,0,25,10
142,0,1,86111.0,73,0,63,436,1385,0.28808664259927796,0.020216606498194945,0.5458483754512635,0.025992779783393503,0.02888086642599278,0.09097472924187726,0,25,7
143,1,0,68352.0,47,0,51,305,871,0.7049368541905855,0.018369690011481057,0.1515499425947187,0.04936854190585534,0.03788748564867968,0.03788748564867968,0,32,14
144,0,1,41883.0,13,0,37,467,312,0.10256410256410256,0.10897435897435898,0.13141025641025642,0.23397435897435898,0.05128205128205128,0.3717948717948718,0,20,11
145,0,1,59809.0,36,0,49,619,877,0.6818700114025086,0.018244013683010263,0.16077537058152794,0.036488027366020526,0.046750285062713795,0.055872291904218926,0,25,11
146,0,1,23957.0,47,1,50,609,68,0.029411764705882353,0.014705882352941176,0.2647058823529412,0.29411764705882354,0.16176470588235295,0.23529411764705882,0,13,8
147,0,1,38547.0,49,0,44,305,22,0.2727272727272727,0.045454545454545456,0.45454545454545453,0.0,0.045454545454545456,0.18181818181818182,0,13,9
148,1,1,35688.0,94,0,52,676,211,0.3459715639810427,0.014218009478672985,0.4265402843601896,0.05687203791469194,0.004739336492890996,0.15165876777251186,0,27,12
149,1,1,49605.0,65,0,59,8,127,0.33070866141732286,0.12598425196850394,0.2283464566929134,0.09448818897637795,0.15748031496062992,0.06299212598425197,0,11,5
150,1,1,59354.0,59,0,72,66,459,0.6427015250544662,0.0457516339869281,0.16993464052287582,0.08496732026143791,0.02832244008714597,0.02832244008714597,0,21,7
151,0,1,65747.0,96,0,56,114,460,0.7521739130434782,0.03695652173913044,0.10434782608695652,0.05,0.02826086956521739,0.02826086956521739,1,26,14
152,1,1,46344.0,28,0,53,562,429,0.5431235431235432,0.046620046620046623,0.13286713286713286,0.018648018648018648,0.046620046620046623,0.21212121212121213,0,25,14
153,0,0,34176.0,12,0,37,48,89,0.056179775280898875,0.07865168539325842,0.2696629213483146,0.21348314606741572,0.15730337078651685,0.2247191011235955,0,18,9
154,1,1,61010.0,57,0,73,628,1021,0.8697355533790402,0.0,0.05582761998041136,0.0,0.0,0.07443682664054849,0,32,13
155,0,1,69372.0,10,1,76,495,1381,0.721940622737147,0.01882693700217234,0.1947863866763215,0.024619840695148443,0.00941346850108617,0.03041274438812455,2,25,14
156,0,0,49967.0,4,0,67,356,306,0.6928104575163399,0.0196078431372549,0.22549019607843138,0.013071895424836602,0.0392156862745098,0.00980392156862745,0,23,13
157,0,0,60199.0,49,0,47,290,18,0.4444444444444444,0.05555555555555555,0.3888888888888889,0.1111111111111111,0.0,0.0,0,11,4
158,0,1,55375.0,3,0,48,255,162,0.25925925925925924,0.06790123456790123,0.35185185185185186,0.06172839506172839,0.1728395061728395,0.08641975308641975,0,12,3
159,0,0,80317.0,64,0,70,313,1231,0.4354183590576767,0.008935824532900082,0.314378554021121,0.12103980503655565,0.07392363931762795,0.0463038180341186,0,19,4
160,1,0,30523.0,0,0,67,363,13,0.38461538461538464,0.0,0.23076923076923078,0.0,0.0,0.38461538461538464,0,14,8
161,1,1,70356.0,20,0,80,601,1706,0.7907385697538101,0.009378663540445486,0.14595545134818289,0.025205158264947247,0.009378663540445486,0.019343493552168817,0,33,16
162,0,1,23228.0,91,0,41,175,121,0.4380165289256198,0.024793388429752067,0.4049586776859504,0.05785123966942149,0.03305785123966942,0.04132231404958678,0,20,11
163,1,0,74165.0,9,0,50,424,1293,0.774168600154679,0.009280742459396751,0.18561484918793503,0.01237432327919567,0.009280742459396751,0.009280742459396751,0,22,7
165,0,1,43482.0,83,0,59,228,88,0.20454545454545456,0.011363636363636364,0.36363636363636365,0.06818181818181818,0.03409090909090909,0.3181818181818182,0,18,8
166,0,0,62551.0,27,0,72,223,421,0.29691211401425177,0.03800475059382423,0.2327790973871734,0.3182897862232779,0.0498812351543943,0.06413301662707839,1,21,9
167,0,0,52332.0,63,0,66,305,259,0.8185328185328186,0.019305019305019305,0.1274131274131274,0.02702702702702703,0.0,0.007722007722007722,1,16,7
168,0,0,66951.0,46,0,37,239,1117,0.24798567591763654,0.1450313339301701,0.2730528200537153,0.1548791405550582,0.06803939122649955,0.11101163831692032,0,16,4
169,0,1,26091.0,84,0,68,124,89,0.16853932584269662,0.11235955056179775,0.21348314606741572,0.0898876404494382,0.19101123595505617,0.2247191011235955,0,16,7
170,0,1,33456.0,58,0,60,69,36,0.19444444444444445,0.08333333333333333,0.2777777777777778,0.2222222222222222,0.027777777777777776,0.19444444444444445,0,15,8
171,0,1,28718.0,78,0,43,351,57,0.21052631578947367,0.07017543859649122,0.10526315789473684,0.19298245614035087,0.14035087719298245,0.2807017543859649,0,16,10
172,0,1,50447.0,4,0,55,69,148,0.5743243243243243,0.0472972972972973,0.16216216216216217,0.013513513513513514,0.02027027027027027,0.18243243243243243,0,16,9
173,1,1,53537.0,17,0,66,150,93,0.8709677419354839,0.0,0.06451612903225806,0.0,0.0,0.06451612903225806,0,15,7
174,0,0,52074.0,77,0,58,86,119,0.4957983193277311,0.0,0.10084033613445378,0.0,0.0,0.40336134453781514,1,12,6
175,1,1,80427.0,56,0,50,655,1835,0.626158038147139,0.038692098092643054,0.2446866485013624,0.03760217983651226,0.038692098092643054,0.014168937329700272,0,34,16
176,1,1,83837.0,79,1,77,560,1318,0.6426403641881638,0.05007587253414264,0.09028831562974203,0.06525037936267071,0.06752655538694992,0.08421851289833081,2,29,13
177,1,1,38853.0,90,0,55,37,45,0.6444444444444445,0.0,0.3111111111111111,0.0,0.0,0.044444444444444446,0,16,9
178,0,1,38285.0,96,0,66,5,10,0.2,0.0,0.5,0.2,0.0,0.1,0,9,2
179,1,1,78497.0,44,0,74,210,978,0.2116564417177914,0.026584867075664622,0.4570552147239264,0.07668711656441718,0.0,0.2280163599182004,1,27,7
180,1,1,51650.0,81,0,49,49,191,0.7958115183246073,0.015706806282722512,0.11518324607329843,0.010471204188481676,0.02617801047120419,0.03664921465968586,0,16,9
181,1,1,16248.0,77,0,37,50,57,0.21052631578947367,0.19298245614035087,0.17543859649122806,0.05263157894736842,0.21052631578947367,0.15789473684210525,0,16,8
182,1,1,66835.0,21,0,79,274,1033,0.6001936108422071,0.02516940948693127,0.1887705711519845,0.03291384317521781,0.016456921587608905,0.13649564375605033,0,26,8
183,1,1,30477.0,16,0,41,158,66,0.7121212121212122,0.015151515151515152,0.09090909090909091,0.0,0.0,0.18181818181818182,0,13,7
184,0,1,28249.0,80,0,64,14,43,0.023255813953488372,0.20930232558139536,0.16279069767441862,0.046511627906976744,0.32558139534883723,0.23255813953488372,0,12,8
185,0,1,25271.0,45,0,42,571,50,0.2,0.02,0.36,0.2,0.08,0.14,0,15,10
186,1,0,32303.0,63,0,55,113,39,0.8974358974358975,0.0,0.05128205128205128,0.0,0.0,0.05128205128205128,0,13,6
187,0,1,61286.0,34,0,59,331,608,0.5855263157894737,0.0,0.17598684210526316,0.03125,0.014802631578947368,0.1924342105263158,0,24,12
188,0,1,74068.0,14,0,49,467,1581,0.4952561669829222,0.018975332068311195,0.3396584440227704,0.08855154965211891,0.0480708412397217,0.009487666034155597,0,26,6
189,1,1,45759.0,13,0,61,491,68,0.6176470588235294,0.014705882352941176,0.2647058823529412,0.04411764705882353,0.0,0.058823529411764705,0,16,9
190,0,1,24882.0,52,0,47,658,80,0.0125,0.05,0.125,0.3625,0.0,0.45,1,12,7
191,1,1,66973.0,98,0,36,408,1282,0.36349453978159124,0.0171606864274571,0.3369734789391576,0.11466458658346333,0.08814352574102964,0.07956318252730109,0,31,11
193,0,1,38872.0,93,0,37,395,91,0.25274725274725274,0.03296703296703297,0.23076923076923078,0.03296703296703297,0.2087912087912088,0.24175824175824176,0,17,11
194,0,1,51148.0,38,0,52,496,315,0.746031746031746,0.01904761904761905,0.14285714285714285,0.025396825396825397,0.02857142857142857,0.0380952380952381,0,24,11
